date,usd_to_yen_opening_price,usd_to_yen_closing_price,eur_to_usd_opening_price,eur_to_usd_closing_price
系列名称,"東京市場　ドル・円　スポット　9時時点","東京市場　ドル・円　スポット　17時時点","東京市場　ユーロ・ドル　スポット　9時時点","東京市場　ユーロ・ドル　スポット　17時時点"
20210101,NA,NA,NA,NA
20210102,NA,NA,NA,NA
20210103,NA,NA,NA,NA
20210104,103.25,102.92,1.225,1.2264
20210105,103.14,102.94,1.2253,1.2259
20210106,102.69,102.75,1.2299,1.234
20210107,103.03,103.37,1.2339,1.2312
20210108,103.81,103.98,1.2269,1.2239
20210109,NA,NA,NA,NA
20210110,NA,NA,NA,NA
20210111,NA,NA,NA,NA
20210112,104.14,104.16,1.2161,1.2164
20210113,103.75,103.69,1.2209,1.2204
20210114,103.84,104.04,1.2162,1.2143
20210115,103.84,103.7,1.2151,1.2135
20210116,NA,NA,NA,NA
20210117,NA,NA,NA,NA
20210118,103.92,103.76,1.2067,1.2068
20210119,103.71,104,1.2077,1.2105
20210120,103.91,103.75,1.2141,1.2156
20210121,103.56,103.53,1.2115,1.212
20210122,103.51,103.68,1.2166,1.2157
20210123,NA,NA,NA,NA
20210124,NA,NA,NA,NA
20210125,103.79,103.71,1.2168,1.218
20210126,103.76,103.81,1.2143,1.2113
20210127,103.6,103.68,1.2163,1.2155
20210128,104.15,104.31,1.2103,1.2094
20210129,104.31,104.55,1.2121,1.2105
20210130,NA,NA,NA,NA
20210131,NA,NA,NA,NA
20210201,104.71,104.75,1.2123,1.2127
20210202,104.89,104.99,1.2068,1.2069
20210203,105.03,105.06,1.2037,1.2038
20210204,105,105.2,1.2042,1.2008
20210205,105.58,105.5,1.1966,1.1964
20210206,NA,NA,NA,NA
20210207,NA,NA,NA,NA
20210208,105.4,105.49,1.205,1.2041
20210209,105.21,104.78,1.2053,1.2081
20210210,104.58,104.52,1.2117,1.213
20210211,NA,NA,NA,NA
20210212,104.76,104.93,1.2131,1.2116
20210213,NA,NA,NA,NA
20210214,NA,NA,NA,NA
20210215,105.07,105.18,1.2121,1.2133
20210216,105.39,105.49,1.2132,1.213
20210217,106.12,106.03,1.2089,1.2074
20210218,105.86,105.82,1.2046,1.2048
20210219,105.66,105.6,1.2092,1.211
20210220,NA,NA,NA,NA
20210221,NA,NA,NA,NA
20210222,105.54,105.82,1.2125,1.211
20210223,NA,NA,NA,NA
20210224,105.3,105.57,1.2151,1.2156
20210225,105.96,106.01,1.217,1.2187
20210226,106.39,106.09,1.2158,1.2135
20210227,NA,NA,NA,NA
20210228,NA,NA,NA,NA
20210301,106.48,106.6,1.2091,1.2077
20210302,106.85,106.85,1.2048,1.2008
20210303,106.76,106.82,1.2085,1.2094
20210304,107.08,107.16,1.2048,1.2053
20210305,107.95,108.27,1.1967,1.195
20210306,NA,NA,NA,NA
20210307,NA,NA,NA,NA
20210308,108.4,108.51,1.1926,1.1886
20210309,108.93,108.81,1.1851,1.1881
20210310,108.58,108.73,1.1897,1.1884
20210311,108.45,108.67,1.1925,1.1938
20210312,108.58,109.04,1.1982,1.1946
20210313,NA,NA,NA,NA
20210314,NA,NA,NA,NA
20210315,109.12,109.19,1.1951,1.1921
20210316,109.13,109.26,1.1927,1.1917
20210317,109.03,109.16,1.1903,1.1891
20210318,108.9,109.21,1.1983,1.1947
20210319,108.94,108.75,1.1918,1.1934
20210320,NA,NA,NA,NA
20210321,NA,NA,NA,NA
20210322,108.88,108.69,1.1884,1.1885
20210323,108.78,108.77,1.1933,1.1905
20210324,108.53,108.61,1.184,1.1821
20210325,108.8,109.09,1.1813,1.1806
20210326,109.18,109.33,1.1776,1.1787
20210327,NA,NA,NA,NA
20210328,NA,NA,NA,NA
20210329,109.8,109.66,1.1788,1.1787
20210330,109.84,110.23,1.1768,1.1734
20210331,110.31,110.74,1.1724,1.1732
20210401,110.76,110.69,1.1727,1.1741
20210402,110.62,110.55,1.1778,1.1777
20210403,NA,NA,NA,NA
20210404,NA,NA,NA,NA
20210405,110.69,110.64,1.1767,1.1744
20210406,110.2,110.31,1.1817,1.182
20210407,109.8,109.8,1.1874,1.1879
20210408,109.86,109.51,1.1873,1.1883
20210409,109.34,109.51,1.1916,1.1898
20210410,NA,NA,NA,NA
20210411,NA,NA,NA,NA
20210412,109.73,109.46,1.1897,1.1873
20210413,109.39,109.32,1.1912,1.1904
20210414,108.93,109,1.1955,1.1958
20210415,108.9,108.82,1.1983,1.198
20210416,108.69,108.9,1.197,1.1988
20210417,NA,NA,NA,NA
20210418,NA,NA,NA,NA
20210419,108.73,108.22,1.1969,1.202
20210420,108.12,108.41,1.2043,1.207
20210421,108.14,108.23,1.2033,1.2011
20210422,108.05,107.91,1.2038,1.2044
20210423,108,107.92,1.2015,1.2054
20210424,NA,NA,NA,NA
20210425,NA,NA,NA,NA
20210426,107.89,107.72,1.209,1.2098
20210427,108.2,108.34,1.2079,1.2071
20210428,108.76,109.02,1.2089,1.2074
20210429,NA,NA,NA,NA
20210430,108.91,108.89,1.2125,1.2103
20210501,NA,NA,NA,NA
20210502,NA,NA,NA,NA
20210503,NA,NA,NA,NA
20210504,NA,NA,NA,NA
20210505,NA,NA,NA,NA
20210506,109.23,109.34,1.2008,1.2025
20210507,109.05,109.15,1.2065,1.2077
20210508,NA,NA,NA,NA
20210509,NA,NA,NA,NA
20210510,108.58,108.92,1.217,1.2148
20210511,108.85,108.95,1.2141,1.2142
20210512,108.72,108.8,1.2145,1.2134
20210513,109.67,109.67,1.2078,1.2086
20210514,109.52,109.39,1.2077,1.2115
20210515,NA,NA,NA,NA
20210516,NA,NA,NA,NA
20210517,109.43,109.25,1.215,1.2136
20210518,109.25,108.98,1.2156,1.2202
20210519,108.87,109.08,1.2222,1.2221
20210520,109.27,108.98,1.217,1.2202
20210521,108.86,108.7,1.2226,1.2217
20210522,NA,NA,NA,NA
20210523,NA,NA,NA,NA
20210524,108.92,108.77,1.2181,1.2197
20210525,108.85,108.72,1.2214,1.2256
20210526,108.8,108.84,1.2248,1.2244
20210527,109.18,109.1,1.2192,1.2205
20210528,109.82,109.89,1.2193,1.2189
20210529,NA,NA,NA,NA
20210530,NA,NA,NA,NA
20210531,109.91,109.72,1.219,1.2191
20210601,109.5,109.49,1.2233,1.2241
20210602,109.5,109.78,1.2218,1.2201
20210603,109.59,109.84,1.221,1.2181
20210604,110.29,110.19,1.2131,1.2113
20210605,NA,NA,NA,NA
20210606,NA,NA,NA,NA
20210607,109.62,109.43,1.2167,1.2168
20210608,109.28,109.53,1.2191,1.2172
20210609,109.48,109.45,1.2173,1.2183
20210610,109.62,109.55,1.2178,1.2161
20210611,109.39,109.44,1.2174,1.2183
20210612,NA,NA,NA,NA
20210613,NA,NA,NA,NA
20210614,109.72,109.7,1.211,1.2118
20210615,110.04,110.05,1.2122,1.2144
20210616,110.09,109.94,1.2125,1.2133
20210617,110.78,110.6,1.1995,1.1955
20210618,110.33,110.01,1.1914,1.1916
20210619,NA,NA,NA,NA
20210620,NA,NA,NA,NA
20210621,110.21,110.03,1.1871,1.1884
20210622,110.39,110.49,1.1913,1.1902
20210623,110.65,110.88,1.1937,1.1939
20210624,111.02,110.88,1.1931,1.1932
20210625,110.93,110.76,1.1928,1.1948
20210626,NA,NA,NA,NA
20210627,NA,NA,NA,NA
20210628,110.81,110.65,1.1941,1.1942
20210629,110.61,110.7,1.193,1.191
20210630,110.54,110.55,1.19,1.1901
20210701,111.14,111.28,1.1857,1.1848
20210702,111.57,111.57,1.1846,1.1825
20210703,NA,NA,NA,NA
20210704,NA,NA,NA,NA
20210705,111.14,110.91,1.1857,1.1873
20210706,110.92,110.78,1.1863,1.1873
20210707,110.6,110.64,1.1823,1.1826
20210708,110.63,109.79,1.1794,1.1821
20210709,109.81,110.02,1.1847,1.1841
20210710,NA,NA,NA,NA
20210711,NA,NA,NA,NA
20210712,110.23,110.05,1.1873,1.1878
20210713,110.33,110.37,1.1864,1.1852
20210714,110.59,110.51,1.1775,1.1785
20210715,110,109.78,1.1834,1.1836
20210716,109.78,110.17,1.1812,1.1802
20210717,NA,NA,NA,NA
20210718,NA,NA,NA,NA
20210719,109.89,109.85,1.1813,1.178
20210720,109.53,109.63,1.1792,1.1784
20210721,109.92,110.09,1.1782,1.1761
20210722,NA,NA,NA,NA
20210723,NA,NA,NA,NA
20210724,NA,NA,NA,NA
20210725,NA,NA,NA,NA
20210726,110.55,110.21,1.1774,1.1783
20210727,110.31,110.09,1.1805,1.1783
20210728,109.81,109.98,1.1821,1.1806
20210729,109.89,109.87,1.1846,1.187
20210730,109.42,109.53,1.1891,1.1896
20210731,NA,NA,NA,NA
20210801,NA,NA,NA,NA
20210802,109.72,109.67,1.1866,1.1882
20210803,109.28,109.22,1.1875,1.1878
20210804,108.99,109.11,1.1869,1.1878
20210805,109.54,109.57,1.1838,1.1849
20210806,109.76,109.72,1.1834,1.1825
20210807,NA,NA,NA,NA
20210808,NA,NA,NA,NA
20210809,NA,NA,NA,NA
20210810,110.32,110.45,1.1737,1.1732
20210811,110.6,110.75,1.172,1.1713
20210812,110.38,110.38,1.1742,1.1742
20210813,110.41,110.3,1.1736,1.1735
20210814,NA,NA,NA,NA
20210815,NA,NA,NA,NA
20210816,109.63,109.41,1.1795,1.1781
20210817,109.3,109.33,1.1778,1.1773
20210818,109.54,109.61,1.1709,1.1724
20210819,109.85,109.78,1.1703,1.1683
20210820,109.78,109.62,1.1677,1.1681
20210821,NA,NA,NA,NA
20210822,NA,NA,NA,NA
20210823,109.84,109.91,1.1698,1.1723
20210824,109.69,109.77,1.1744,1.1738
20210825,109.73,109.75,1.1753,1.1738
20210826,109.99,110.17,1.1772,1.177
20210827,110.05,110.11,1.1754,1.1761
20210828,NA,NA,NA,NA
20210829,NA,NA,NA,NA
20210830,109.86,109.81,1.1799,1.1802
20210831,109.95,109.82,1.1796,1.1828
20210901,110.06,110.4,1.181,1.1806
20210902,110.1,110.01,1.1842,1.1847
20210903,109.96,110.04,1.1874,1.1875
20210904,NA,NA,NA,NA
20210905,NA,NA,NA,NA
20210906,109.77,109.9,1.1886,1.1863
20210907,109.83,109.9,1.1874,1.1876
20210908,110.3,110.25,1.1844,1.1831
20210909,110.22,109.96,1.1819,1.1823
20210910,109.77,109.95,1.1824,1.1843
20210911,NA,NA,NA,NA
20210912,NA,NA,NA,NA
20210913,109.93,110.09,1.1812,1.1787
20210914,110,110.01,1.1811,1.1825
20210915,109.72,109.44,1.1803,1.1817
20210916,109.39,109.36,1.1819,1.1782
20210917,109.7,109.95,1.1765,1.1773
20210918,NA,NA,NA,NA
20210919,NA,NA,NA,NA
20210920,NA,NA,NA,NA
20210921,109.44,109.64,1.1727,1.1727
20210922,109.16,109.45,1.1723,1.173
20210923,NA,NA,NA,NA
20210924,110.33,110.47,1.1741,1.1739
20210925,NA,NA,NA,NA
20210926,NA,NA,NA,NA
20210927,110.77,110.78,1.1723,1.1695
20210928,110.97,111.25,1.1696,1.1687
20210929,111.53,111.3,1.1687,1.1662
20210930,111.94,111.88,1.1601,1.1605
20211001,111.47,111.27,1.1574,1.1579
20211002,NA,NA,NA,NA
20211003,NA,NA,NA,NA
20211004,110.96,111.17,1.1607,1.161
20211005,110.96,111.1,1.1617,1.1598
20211006,111.49,111.68,1.1595,1.1557
20211007,111.41,111.3,1.1556,1.1569
20211008,111.67,111.96,1.156,1.1548
20211009,NA,NA,NA,NA
20211010,NA,NA,NA,NA
20211011,112.27,112.79,1.1566,1.1575
20211012,113.39,113.3,1.1554,1.1556
20211013,113.54,113.58,1.1531,1.1551
20211014,113.3,113.38,1.1598,1.1608
20211015,113.84,114.1,1.1591,1.1612
20211016,NA,NA,NA,NA
20211017,NA,NA,NA,NA
20211018,114.34,114.3,1.1596,1.1593
20211019,114.29,114.02,1.1614,1.1654
20211020,114.54,114.35,1.1632,1.1625
20211021,114.39,114.12,1.1653,1.1641
20211022,113.85,113.89,1.1625,1.1642
20211023,NA,NA,NA,NA
20211024,NA,NA,NA,NA
20211025,113.66,113.64,1.164,1.1658
20211026,113.77,114.05,1.161,1.1598
20211027,114.18,113.74,1.1597,1.1606
20211028,113.78,113.61,1.1599,1.1609
20211029,113.62,113.61,1.1683,1.1671
20211030,NA,NA,NA,NA
20211031,NA,NA,NA,NA
20211101,114.24,114.43,1.1557,1.1564
20211102,114.1,113.66,1.16,1.161
20211103,NA,NA,NA,NA
20211104,114.06,114.22,1.1616,1.1572
20211105,113.83,113.77,1.1556,1.1561
20211106,NA,NA,NA,NA
20211107,NA,NA,NA,NA
20211108,113.48,113.57,1.1568,1.156
20211109,113.26,112.85,1.1588,1.1596
20211110,112.92,113.1,1.1595,1.1569
20211111,113.91,114.08,1.1486,1.1461
20211112,114.05,114.05,1.1448,1.1451
20211113,NA,NA,NA,NA
20211114,NA,NA,NA,NA
20211115,113.99,113.95,1.1442,1.145
20211116,114.13,114.27,1.1367,1.138
20211117,114.91,114.89,1.1319,1.1303
20211118,114.2,114.02,1.1318,1.1335
20211119,114.29,114.37,1.1368,1.1344
20211120,NA,NA,NA,NA
20211121,NA,NA,NA,NA
20211122,114.15,114.22,1.1276,1.1262
20211123,NA,NA,NA,NA
20211124,115.15,114.9,1.1245,1.1245
20211125,115.42,115.39,1.1203,1.1216
20211126,115.07,114.17,1.1209,1.1234
20211127,NA,NA,NA,NA
20211128,NA,NA,NA,NA
20211129,113.72,113.57,1.1293,1.1264
20211130,113.81,113.19,1.1293,1.1329
20211201,113.3,113.42,1.1331,1.1341
20211202,112.88,113.27,1.132,1.1311
20211203,113.03,113.38,1.1306,1.1294
20211204,NA,NA,NA,NA
20211205,NA,NA,NA,NA
20211206,113.05,113.15,1.1305,1.1276
20211207,113.47,113.64,1.1284,1.129
20211208,113.52,113.41,1.1273,1.1286
20211209,113.7,113.49,1.1344,1.1322
20211210,113.44,113.59,1.1294,1.1294
20211211,NA,NA,NA,NA
20211212,NA,NA,NA,NA
20211213,113.52,113.55,1.1311,1.1291
20211214,113.58,113.72,1.1283,1.1271
20211215,113.75,113.74,1.1258,1.1265
20211216,114.15,114.12,1.1291,1.1307
20211217,113.67,113.66,1.1334,1.1318
20211218,NA,NA,NA,NA
20211219,NA,NA,NA,NA
20211220,113.52,113.46,1.1243,1.1255
20211221,113.67,113.66,1.1278,1.1288
20211222,114,114.15,1.1288,1.1268
20211223,114.14,114.26,1.1327,1.1329
20211224,114.47,114.36,1.1324,1.1332
20211225,NA,NA,NA,NA
20211226,NA,NA,NA,NA
20211227,114.35,114.47,1.1324,1.133
20211228,114.79,114.85,1.133,1.1318
20211229,114.77,114.89,1.1314,1.1301
20211230,114.95,115.12,1.136,1.1318
20211231,NA,NA,NA,NA
20220101,NA,NA,NA,NA
20220102,NA,NA,NA,NA
20220103,NA,NA,NA,NA
20220104,115.34,115.74,1.1303,1.1291
20220105,116.17,116.04,1.1283,1.13
20220106,116.13,115.88,1.1311,1.129
20220107,115.87,115.9,1.1296,1.1305
20220108,NA,NA,NA,NA
20220109,NA,NA,NA,NA
20220110,NA,NA,NA,NA
20220111,115.28,115.26,1.1331,1.1342
20220112,115.34,115.4,1.1367,1.1359
20220113,114.68,114.41,1.144,1.1465
20220114,114.12,113.8,1.1456,1.1466
20220115,NA,NA,NA,NA
20220116,NA,NA,NA,NA
20220117,114.31,114.41,1.1412,1.1425
20220118,114.57,114.87,1.1411,1.1398
20220119,114.56,114.43,1.133,1.1331
20220120,114.35,114.4,1.1343,1.136
20220121,113.99,113.87,1.1314,1.1329
20220122,NA,NA,NA,NA
20220123,NA,NA,NA,NA
20220124,113.79,113.76,1.1341,1.1323
20220125,114.01,113.89,1.1324,1.1303
20220126,113.9,113.98,1.1304,1.1292
20220127,114.73,114.78,1.1241,1.1198
20220128,115.35,115.65,1.1144,1.1135
20220129,NA,NA,NA,NA
20220130,NA,NA,NA,NA
20220131,115.27,115.43,1.1153,1.1171
20220201,115.13,114.94,1.123,1.1266
20220202,114.74,114.63,1.1274,1.1281
20220203,114.39,114.59,1.13,1.1298
20220204,114.97,115.11,1.1435,1.1468
20220205,NA,NA,NA,NA
20220206,NA,NA,NA,NA
20220207,115.23,115.26,1.1455,1.1433
20220208,115.07,115.49,1.1442,1.1399
20220209,115.54,115.41,1.1421,1.1409
20220210,115.6,115.6,1.1422,1.143
20220211,NA,NA,NA,NA
20220212,NA,NA,NA,NA
20220213,NA,NA,NA,NA
20220214,115.59,115.41,1.1365,1.1338
20220215,115.54,115.35,1.1307,1.1313
20220216,115.65,115.65,1.1355,1.1376
20220217,115.4,115.3,1.1374,1.1376
20220218,114.86,115.12,1.1364,1.1371
20220219,NA,NA,NA,NA
20220220,NA,NA,NA,NA
20220221,114.96,114.93,1.1317,1.1374
20220222,114.61,114.74,1.131,1.1297
20220223,NA,NA,NA,NA
20220224,114.9,114.62,1.1306,1.1246
20220225,115.55,115.28,1.1191,1.121
20220226,NA,NA,NA,NA
20220227,NA,NA,NA,NA
20220228,115.59,115.5,1.118,1.119
20220301,115.09,115.04,1.1214,1.123
20220302,114.85,115.16,1.1132,1.1094
20220303,115.52,115.73,1.1113,1.1098
20220304,115.49,115.46,1.1066,1.1013
20220305,NA,NA,NA,NA
20220306,NA,NA,NA,NA
20220307,114.95,115.02,1.0874,1.0871
20220308,115.37,115.45,1.0867,1.0861
20220309,115.73,115.89,1.0898,1.0917
20220310,115.92,115.93,1.1074,1.1065
20220311,116.19,116.72,1.1013,1.0985
20220312,NA,NA,NA,NA
20220313,NA,NA,NA,NA
20220314,117.55,117.73,1.0933,1.0933
20220315,118.22,117.98,1.0943,1.1005
20220316,118.32,118.38,1.0968,1.096
20220317,118.87,118.67,1.1022,1.1045
20220318,118.5,118.86,1.1099,1.1079
20220319,NA,NA,NA,NA
20220320,NA,NA,NA,NA
20220321,NA,NA,NA,NA
20220322,119.59,120.48,1.1017,1.0984
20220323,121.35,121.07,1.103,1.1018
20220324,121.13,121.63,1.1006,1.0979
20220325,122.35,121.74,1.1009,1.1023
20220326,NA,NA,NA,NA
20220327,NA,NA,NA,NA
20220328,122.27,123.93,1.0982,1.0952
20220329,123.6,123.58,1.0992,1.1
20220330,123.12,121.87,1.1091,1.1129
20220331,122.03,121.64,1.1161,1.1151
20220401,121.75,122.64,1.1074,1.1053
20220402,NA,NA,NA,NA
20220403,NA,NA,NA,NA
20220404,122.63,122.66,1.1046,1.1032
20220405,122.8,122.9,1.0975,1.0981
20220406,123.66,123.89,1.0906,1.0896
20220407,123.73,123.76,1.0898,1.0898
20220408,124.1,124.05,1.0865,1.0867
20220409,NA,NA,NA,NA
20220410,NA,NA,NA,NA
20220411,124.4,125.25,1.0885,1.091
20220412,125.49,125.53,1.0878,1.0871
20220413,125.42,126.06,1.0826,1.0839
20220414,125.37,125.34,1.0896,1.0909
20220415,126.19,126.47,1.0821,1.0811
20220416,NA,NA,NA,NA
20220417,NA,NA,NA,NA
20220418,126.62,126.64,1.0815,1.0791
20220419,127.15,128.07,1.078,1.0802
20220420,129.31,128.66,1.0795,1.0809
20220421,128,128.03,1.0849,1.0928
20220422,128.43,128.07,1.0835,1.0807
20220423,NA,NA,NA,NA
20220424,NA,NA,NA,NA
20220425,128.61,128.2,1.081,1.0739
20220426,127.78,127.88,1.0713,1.0677
20220427,127.26,127.99,1.0644,1.0624
20220428,128.44,130.6,1.0554,1.0555
20220429,NA,NA,NA,NA
20220430,NA,NA,NA,NA
20220501,NA,NA,NA,NA
20220502,130,130.11,1.0537,1.0534
20220503,NA,NA,NA,NA
20220504,NA,NA,NA,NA
20220505,NA,NA,NA,NA
20220506,130.34,130.52,1.054,1.052
20220507,NA,NA,NA,NA
20220508,NA,NA,NA,NA
20220509,130.73,131.21,1.0533,1.0512
20220510,130.38,130.36,1.0564,1.0557
20220511,130.37,129.97,1.0529,1.0551
20220512,129.85,128.84,1.0512,1.046
20220513,128.6,128.81,1.0379,1.0415
20220514,NA,NA,NA,NA
20220515,NA,NA,NA,NA
20220516,129.41,129.36,1.04,1.041
20220517,128.93,129.4,1.044,1.0464
20220518,129.43,129.33,1.0549,1.0517
20220519,127.93,128.23,1.0474,1.0493
20220520,127.85,127.93,1.058,1.0577
20220521,NA,NA,NA,NA
20220522,NA,NA,NA,NA
20220523,127.9,127.59,1.057,1.0601
20220524,127.81,127.28,1.0683,1.0731
20220525,126.74,127.12,1.0733,1.0685
20220526,127.14,126.6,1.0688,1.0689
20220527,127.1,127.14,1.0733,1.0736
20220528,NA,NA,NA,NA
20220529,NA,NA,NA,NA
20220530,127.27,127.36,1.073,1.0744
20220531,127.79,127.76,1.0774,1.0737
20220601,128.75,129.4,1.0734,1.0715
20220602,130.14,129.89,1.0651,1.0687
20220603,129.95,129.89,1.0751,1.0757
20220604,NA,NA,NA,NA
20220605,NA,NA,NA,NA
20220606,130.74,130.77,1.0724,1.0743
20220607,132.19,132.77,1.0691,1.0688
20220608,132.81,133.58,1.0698,1.0689
20220609,134.44,133.48,1.0717,1.0703
20220610,134.37,133.61,1.062,1.0626
20220611,NA,NA,NA,NA
20220612,NA,NA,NA,NA
20220613,134.78,134.6,1.0491,1.0467
20220614,134.22,134.43,1.0415,1.0468
20220615,135.27,134.71,1.0438,1.0466
20220616,134.06,134.23,1.0458,1.0397
20220617,132.41,134.29,1.0547,1.0518
20220618,NA,NA,NA,NA
20220619,NA,NA,NA,NA
20220620,135.29,134.67,1.0491,1.0518
20220621,135.1,135.23,1.0517,1.0557
20220622,136.33,136.24,1.0532,1.0505
20220623,135.99,135.38,1.0565,1.0508
20220624,134.82,134.54,1.052,1.0525
20220625,NA,NA,NA,NA
20220626,NA,NA,NA,NA
20220627,135.05,135.08,1.0567,1.0588
20220628,135.44,135.76,1.058,1.0585
20220629,136.06,136.03,1.0521,1.0516
20220630,136.61,136.2,1.0447,1.0446
20220701,135.8,135.31,1.0478,1.0446
20220702,NA,NA,NA,NA
20220703,NA,NA,NA,NA
20220704,135.02,135.45,1.0433,1.0431
20220705,135.86,136.09,1.0433,1.0375
20220706,135.55,135.43,1.0257,1.0259
20220707,135.95,136.13,1.0185,1.0192
20220708,135.92,135.84,1.017,1.0109
20220709,NA,NA,NA,NA
20220710,NA,NA,NA,NA
20220711,136.31,136.81,1.0168,1.0112
20220712,137.42,137.35,1.0045,1.0009
20220713,136.75,137.05,1.003,1.0033
20220714,,,,
20220715,,,,
20220716,,,,
20220717,,,,
20220718,,,,
20220719,,,,
20220720,,,,
20220721,,,,
20220722,,,,
20220723,,,,
20220724,,,,
20220725,,,,
20220726,,,,
20220727,,,,
20220728,,,,
20220729,,,,
20220730,,,,
20220731,,,,
20220801,,,,
20220802,,,,
20220803,,,,
20220804,,,,
20220805,,,,
20220806,,,,
20220807,,,,
20220808,,,,
20220809,,,,
20220810,,,,
20220811,,,,
20220812,,,,
20220813,,,,
20220814,,,,
20220815,,,,
20220816,,,,
20220817,,,,
20220818,,,,
20220819,,,,
20220820,,,,
20220821,,,,
20220822,,,,
20220823,,,,
20220824,,,,
20220825,,,,
20220826,,,,
20220827,,,,
20220828,,,,
20220829,,,,
20220830,,,,
20220831,,,,
20220901,,,,
20220902,,,,
20220903,,,,
20220904,,,,
20220905,,,,
20220906,,,,
20220907,,,,
20220908,,,,
20220909,,,,
20220910,,,,
20220911,,,,
20220912,,,,
20220913,,,,
20220914,,,,
20220915,,,,
20220916,,,,
20220917,,,,
20220918,,,,
20220919,,,,
20220920,,,,
20220921,,,,
20220922,,,,
20220923,,,,
20220924,,,,
20220925,,,,
20220926,,,,
20220927,,,,
20220928,,,,
20220929,,,,
20220930,,,,
20221001,,,,
20221002,,,,
20221003,,,,
20221004,,,,
20221005,,,,
20221006,,,,
20221007,,,,
20221008,,,,
20221009,,,,
20221010,,,,
20221011,,,,
20221012,,,,
20221013,,,,
20221014,,,,
20221015,,,,
20221016,,,,
20221017,,,,
20221018,,,,
20221019,,,,
20221020,,,,
20221021,,,,
20221022,,,,
20221023,,,,
20221024,,,,
20221025,,,,
20221026,,,,
20221027,,,,
20221028,,,,
20221029,,,,
20221030,,,,
20221031,,,,
20221101,,,,
20221102,,,,
20221103,,,,
20221104,,,,
20221105,,,,
20221106,,,,
20221107,,,,
20221108,,,,
20221109,,,,
20221110,,,,
20221111,,,,
20221112,,,,
20221113,,,,
20221114,,,,
20221115,,,,
20221116,,,,
20221117,,,,
20221118,,,,
20221119,,,,
20221120,,,,
20221121,,,,
20221122,,,,
20221123,,,,
20221124,,,,
20221125,,,,
20221126,,,,
20221127,,,,
20221128,,,,
20221129,,,,
20221130,,,,
20221201,,,,
20221202,,,,
20221203,,,,
20221204,,,,
20221205,,,,
20221206,,,,
20221207,,,,
20221208,,,,
20221209,,,,
20221210,,,,
20221211,,,,
20221212,,,,
20221213,,,,
20221214,,,,
20221215,,,,
20221216,,,,
20221217,,,,
20221218,,,,
20221219,,,,
20221220,,,,
20221221,,,,
20221222,,,,
20221223,,,,
20221224,,,,
20221225,,,,
20221226,,,,
20221227,,,,
20221228,,,,
20221229,,,,
20221230,,,,
20221231,,,,
